beta,mu,err_mu,sigma,err_sigma,H,err_H
1238.5,0.744106,0.0100501,0.617501,0.00845648,-0.442153,0.00585333
1240,0.744053,0.0100419,0.61736,0.00844944,-0.441223,0.00584867
1241.5,0.743407,0.0100378,0.617064,0.00844582,-0.442961,0.00584642
1243,0.742782,0.0100296,0.616298,0.00843879,-0.444609,0.00584184
1244.5,0.74329,0.0100254,0.617,0.00843517,-0.442959,0.0058396
1246,0.743241,0.0100173,0.616411,0.00842817,-0.443214,0.00583501
1247.5,0.743275,0.0100131,0.616419,0.00842456,-0.443216,0.00583278
1249,0.744066,0.010005,0.617191,0.0084176,-0.439764,0.00582815
1250.5,0.74418,0.0100009,0.617488,0.00841402,-0.442159,0.0058259
1252,0.744156,0.00999285,0.617643,0.00840708,-0.442153,0.00582134
1253.5,0.74374,0.00998876,0.617203,0.00840351,-0.441208,0.00581908
1255,0.743401,0.0099807,0.616542,0.00839659,-0.443212,0.00581455
1256.5,0.743126,0.00997661,0.616995,0.00839303,-0.442953,0.00581233
1258,0.743192,0.00996857,0.61632,0.00838613,-0.44322,0.00580781
1259.5,0.742967,0.0099645,0.616316,0.00838258,-0.44298,0.0058056
1261,0.742923,0.00995649,0.616602,0.00837571,-0.444593,0.00580112
1262.5,0.743438,0.00995244,0.616899,0.00837217,-0.44297,0.00579892
1264,0.742949,0.00994445,0.616522,0.00836532,-0.444599,0.00579445
1265.5,0.743486,0.00994042,0.617089,0.00836181,-0.442963,0.00579226
1267,0.743142,0.00993246,0.616877,0.00835499,-0.442959,0.00578778
1268.5,0.74318,0.00992844,0.616472,0.00835148,-0.443013,0.0057856
1270,0.742865,0.00992051,0.61651,0.00834468,-0.444597,0.00578116
1271.5,0.743075,0.0099165,0.616912,0.00834119,-0.442955,0.00577898
1273,0.743273,0.0099086,0.616812,0.00833442,-0.442967,0.00577453
1274.5,0.74337,0.00990461,0.6163,0.00833093,-0.443231,0.00577237
1276,0.742953,0.00989674,0.616674,0.00832418,-0.444589,0.00576796
1277.5,0.743239,0.00989276,0.616865,0.00832071,-0.442964,0.0057658
1279,0.742716,0.00988491,0.61623,0.00831399,-0.441921,0.00576137
1280.5,0.743296,0.00988095,0.616378,0.00831052,-0.44322,0.00575921
1282,0.742989,0.00987313,0.616622,0.00830383,-0.444594,0.00575484
1283.5,0.742873,0.00986918,0.616326,0.00830038,-0.44461,0.00575271
1285,0.742879,0.00986139,0.616501,0.0082937,-0.444598,0.00574835
1286.5,0.742932,0.00985745,0.616512,0.00829026,-0.444599,0.00574624
1288,0.742878,0.00984968,0.6163,0.00828361,-0.444611,0.00574189
1289.5,0.743195,0.00984576,0.616536,0.00828019,-0.442978,0.00573976
1291,0.743354,0.00983803,0.616761,0.00827357,-0.442973,0.0057354
1292.5,0.743358,0.00983413,0.616838,0.00827016,-0.44297,0.00573327
1294,0.743201,0.00982643,0.616586,0.00826356,-0.442976,0.00572893
1295.5,0.742942,0.00982253,0.616659,0.00826016,-0.44459,0.00572684
1297,0.743296,0.00981485,0.616298,0.00825358,-0.443227,0.00572251
1298.5,0.743358,0.00981097,0.61687,0.0082502,-0.442968,0.0057204
1300,0.743425,0.00980333,0.616343,0.00824364,-0.443231,0.00571609
1301.5,0.742998,0.00979946,0.616677,0.00824027,-0.444591,0.00571401
1303,0.743298,0.00979184,0.61638,0.00823374,-0.44322,0.00570972
1304.5,0.743362,0.00978799,0.617119,0.00823039,-0.442957,0.00570762
1306,0.742977,0.00978039,0.616514,0.00822388,-0.442971,0.00570333
1307.5,0.743177,0.00977655,0.617051,0.00822054,-0.442953,0.00570124
1309,0.743217,0.00976898,0.616447,0.00821405,-0.44321,0.00569697
1310.5,0.743454,0.00976516,0.61701,0.00821072,-0.442965,0.00569489
1312,0.743322,0.00975762,0.616335,0.00820426,-0.443226,0.00569064
1313.5,0.742873,0.0097538,0.616529,0.00820093,-0.444596,0.00568858
1315,0.742782,0.00974628,0.616311,0.00819449,-0.444608,0.00568437
1316.5,0.742236,0.00974246,0.616958,0.00819118,-0.444533,0.00568232
1318,0.742894,0.00973497,0.616302,0.00818476,-0.444612,0.00567812
1319.5,0.742909,0.00973118,0.616216,0.00818146,-0.444618,0.00567608
1321,0.743165,0.00972371,0.616347,0.00817506,-0.444841,0.00567189
1322.5,0.742915,0.00971994,0.616534,0.00817177,-0.444597,0.00566986
1324,0.742842,0.00971249,0.616372,0.0081654,-0.444606,0.00566569
1325.5,0.742992,0.00970873,0.616737,0.00816212,-0.444587,0.00566366
1327,0.742798,0.00970131,0.616305,0.00815577,-0.444609,0.0056595
1328.5,0.742931,0.00969756,0.616346,0.0081525,-0.44461,0.00565748
1330,0.743309,0.00969017,0.616676,0.00814618,-0.442975,0.00565331
1331.5,0.743381,0.00968644,0.61654,0.00814292,-0.443211,0.00565127
1333,0.743326,0.00967908,0.616831,0.00813662,-0.442969,0.00564711
1334.5,0.743109,0.00967536,0.616447,0.00813338,-0.442979,0.00564508
1336,0.743252,0.00966802,0.616857,0.0081271,-0.442964,0.00564094
1337.5,0.742927,0.00966431,0.616431,0.00812387,-0.444604,0.00563894
1339,0.742209,0.00965698,0.616916,0.00811761,-0.444534,0.00563483
1340.5,0.742214,0.00965327,0.616868,0.0081144,-0.444535,0.00563283
1342,0.742931,0.00964598,0.616462,0.00810816,-0.444602,0.00562874
1343.5,0.743304,0.0096423,0.616497,0.00810495,-0.443211,0.00562673
1345,0.743426,0.00963504,0.617016,0.00809874,-0.442964,0.00562263
1346.5,0.743423,0.00963137,0.616916,0.00809555,-0.442968,0.00562062
1348,0.743566,0.00962414,0.61645,0.00808935,-0.44323,0.00561653
1349.5,0.743397,0.00962049,0.617162,0.00808617,-0.442956,0.00561453
1351,0.74319,0.00961327,0.616808,0.00808,-0.442964,0.00561046
1352.5,0.742898,0.00960962,0.616252,0.00807682,-0.444615,0.00560849
1354,0.742874,0.00960243,0.616349,0.00807066,-0.444608,0.00560445
1355.5,0.742919,0.00959879,0.616524,0.0080675,-0.444598,0.00560249
1357,0.742801,0.00959162,0.616332,0.00806137,-0.444607,0.00559846
1358.5,0.743417,0.009588,0.616345,0.00805821,-0.44323,0.00559648
1360,0.743462,0.00958087,0.616393,0.0080521,-0.443229,0.00559245
1361.5,0.74286,0.00957725,0.616351,0.00804895,-0.444607,0.0055905
1363,0.742913,0.00957013,0.616595,0.00804286,-0.444593,0.0055865
1364.5,0.742947,0.00956653,0.616376,0.00803973,-0.444609,0.00558455
1366,0.742876,0.00955944,0.616461,0.00803366,-0.444601,0.00558056
1367.5,0.743366,0.00955585,0.616511,0.00803054,-0.443213,0.0055786
1369,0.743162,0.00954878,0.616482,0.00802449,-0.442979,0.00557461
1370.5,0.74326,0.00954521,0.6163,0.00802137,-0.443225,0.00557265
1372,0.743626,0.00953817,0.615684,0.00801533,-0.439955,0.00556862
1373.5,0.744342,0.00953463,0.615408,0.00801222,-0.439842,0.00556663
1375,0.743744,0.00952761,0.615695,0.0080062,-0.439961,0.00556261
1376.5,0.743321,0.00952406,0.616099,0.00800311,-0.437806,0.00556059
1378,0.74328,0.00951707,0.616021,0.00799711,-0.439531,0.00555659
1379.5,0.74297,0.00951353,0.616401,0.00799403,-0.442976,0.00555465
1381,0.743305,0.00950655,0.616481,0.00798807,-0.443212,0.0055507
1382.5,0.74308,0.00950302,0.616453,0.007985,-0.442978,0.00554877
1384,0.743317,0.00949607,0.61711,0.00797906,-0.442955,0.00554484
1385.5,0.743209,0.00949256,0.616525,0.007976,-0.442979,0.00554291
1387,0.743258,0.00948563,0.616835,0.00797008,-0.442966,0.00553899
1388.5,0.743239,0.00948213,0.616519,0.00796703,-0.443013,0.00553707
1390,0.743048,0.00947522,0.616235,0.00796112,-0.443026,0.00553316
1391.5,0.743511,0.00947173,0.616454,0.00795808,-0.443226,0.00553125
1393,0.743923,0.00946486,0.617018,0.0079522,-0.445517,0.00552739
1394.5,0.743276,0.00946138,0.617327,0.00794918,-0.442944,0.00552548
1396,0.743246,0.00945452,0.616885,0.00794332,-0.442963,0.0055216
1397.5,0.743246,0.00945105,0.616461,0.0079403,-0.44321,0.0055197
1399,0.743431,0.00944421,0.616995,0.00793446,-0.442965,0.00551583
1400.5,0.743236,0.00944076,0.617044,0.00793146,-0.442955,0.00551393
1402,0.743014,0.00943394,0.616551,0.00792563,-0.44297,0.00551007
1403.5,0.743356,0.00943049,0.61705,0.00792264,-0.44296,0.00550818
1405,0.743274,0.0094237,0.616969,0.00791683,-0.44296,0.00550433
1406.5,0.743252,0.00942027,0.616894,0.00791385,-0.442963,0.00550244
1408,0.742902,0.00941349,0.616345,0.00790806,-0.444609,0.00549863
1409.5,0.743162,0.00941007,0.616417,0.00790508,-0.443017,0.00549675
1411,0.743317,0.00940332,0.616846,0.00789931,-0.442967,0.00549293
1412.5,0.743372,0.00939991,0.61712,0.00789636,-0.442957,0.00549105
1414,0.743228,0.00939318,0.616876,0.00789061,-0.442963,0.00548724
1415.5,0.742985,0.00938978,0.616323,0.00788765,-0.442981,0.00548537
1417,0.743396,0.00938307,0.616991,0.00788192,-0.442964,0.00548157
1418.5,0.743338,0.00937968,0.617235,0.00787898,-0.442951,0.00547971
1420,0.743322,0.009373,0.617242,0.00787328,-0.44295,0.00547592
1421.5,0.743163,0.00936962,0.617095,0.00787035,-0.44295,0.00547407
1423,0.74324,0.00936295,0.616769,0.00786465,-0.442968,0.00547029
1424.5,0.743161,0.00935959,0.616835,0.00786173,-0.442962,0.00546844
1426,0.743398,0.00935294,0.617238,0.00785606,-0.442953,0.00546467
1427.5,0.743023,0.00934959,0.616672,0.00785314,-0.442965,0.00546283
1429,0.743176,0.00934296,0.616675,0.00784749,-0.44297,0.00545907
1430.5,0.743443,0.00933962,0.617018,0.00784458,-0.442964,0.00545723
1432,0.743313,0.00933302,0.616798,0.00783895,-0.44297,0.00545349
1433.5,0.743214,0.00932968,0.616283,0.00783605,-0.443224,0.00545166
1435,0.742961,0.0093231,0.616613,0.00783042,-0.444594,0.00544795
1436.5,0.742808,0.00931977,0.616393,0.00782753,-0.444603,0.00544615
1438,0.742941,0.00931321,0.616608,0.00782193,-0.444593,0.00544245
1439.5,0.742929,0.00930989,0.616334,0.00781905,-0.444611,0.00544065
1441,0.743509,0.00930335,0.616472,0.00781346,-0.443224,0.00543694
1442.5,0.743079,0.00930005,0.616393,0.00781059,-0.442981,0.00543513
1444,0.743207,0.00929353,0.616416,0.00780502,-0.443212,0.00543143
1445.5,0.743222,0.00929024,0.616544,0.00780216,-0.442979,0.00542962
1447,0.743458,0.00928374,0.616474,0.0077966,-0.443221,0.00542594
1448.5,0.74343,0.00928047,0.616983,0.00779376,-0.442966,0.00542413
1450,0.74304,0.00927399,0.616397,0.00778822,-0.442979,0.00542046
1451.5,0.743145,0.00927071,0.616983,0.00778539,-0.442955,0.00541866
1453,0.743357,0.00926426,0.617169,0.00777988,-0.442954,0.00541499
1454.5,0.743301,0.009261,0.616638,0.00777705,-0.442977,0.0054132
1456,0.743431,0.00925456,0.616474,0.00777155,-0.44322,0.00540955
1457.5,0.743212,0.00925131,0.617099,0.00776873,-0.442952,0.00540776
