beta,mu,err_mu,sigma,err_sigma,H,err_H
683.5,0.749549,0.0135909,0.6163,0.0115968,-0.436767,0.00781755
685,0.749761,0.0135709,0.616843,0.0115789,-0.436797,0.00780627
686.5,0.750761,0.0135609,0.617711,0.0115695,-0.437728,0.00780075
688,0.749929,0.013541,0.617169,0.0115517,-0.436822,0.00778955
689.5,0.750857,0.0135311,0.617465,0.0115424,-0.439187,0.00778413
691,0.750975,0.0135114,0.618204,0.0115248,-0.439838,0.00777311
692.5,0.750449,0.0135015,0.619481,0.0115156,-0.439171,0.00776773
694,0.749052,0.0134819,0.619459,0.0114981,-0.439997,0.00775679
695.5,0.748124,0.0134719,0.618446,0.011489,-0.437898,0.00775139
697,0.747956,0.0134524,0.618054,0.0114716,-0.437934,0.00774044
698.5,0.749043,0.0134426,0.618568,0.0114625,-0.438899,0.0077351
700,0.748406,0.0134232,0.618058,0.0114452,-0.436294,0.00772416
701.5,0.749773,0.0134135,0.61885,0.0114362,-0.440981,0.00771894
703,0.749414,0.0133942,0.61961,0.0114191,-0.438822,0.00770817
704.5,0.74992,0.0133846,0.61898,0.0114101,-0.441101,0.00770299
706,0.74936,0.0133655,0.617811,0.0113931,-0.437808,0.00769224
707.5,0.748237,0.0133558,0.616608,0.0113841,-0.438255,0.00768698
709,0.747283,0.0133367,0.616172,0.0113671,-0.437984,0.0076763
710.5,0.747897,0.0133271,0.615765,0.0113582,-0.4417,0.00767121
712,0.748066,0.0133082,0.616216,0.0113413,-0.441669,0.00766074
713.5,0.747861,0.0132987,0.617167,0.0113325,-0.440358,0.00765563
715,0.748034,0.0132799,0.615931,0.0113157,-0.441694,0.00764523
716.5,0.747936,0.0132704,0.616561,0.0113069,-0.44089,0.00764017
718,0.748051,0.0132517,0.617648,0.0112903,-0.439033,0.00762972
719.5,0.747345,0.0132423,0.617644,0.0112816,-0.440307,0.00762467
721,0.747087,0.0132237,0.617372,0.0112651,-0.438142,0.00761426
722.5,0.748015,0.0132143,0.616699,0.0112565,-0.437832,0.00760914
724,0.748085,0.0131959,0.615981,0.01124,-0.441692,0.00759892
725.5,0.747449,0.0131866,0.614799,0.0112313,-0.441278,0.00759397
727,0.747844,0.0131682,0.615563,0.011215,-0.441717,0.00758382
728.5,0.748182,0.013159,0.616261,0.0112064,-0.441672,0.0075789
730,0.748136,0.0131408,0.617069,0.0111902,-0.437347,0.00756865
731.5,0.747512,0.0131316,0.61787,0.0111818,-0.436205,0.00756356
733,0.747957,0.0131135,0.617678,0.0111657,-0.437982,0.00755339
734.5,0.747154,0.0131043,0.618207,0.0111573,-0.437339,0.00754837
736,0.747077,0.0130863,0.618439,0.0111414,-0.437304,0.00753824
737.5,0.747738,0.0130772,0.617495,0.011133,-0.43799,0.00753327
739,0.748008,0.0130593,0.616203,0.0111171,-0.441666,0.00752336
740.5,0.747986,0.0130503,0.615938,0.0111087,-0.44169,0.00751856
742,0.747753,0.0130326,0.616311,0.0110929,-0.440907,0.00750868
743.5,0.74774,0.0130236,0.61565,0.0110846,-0.441701,0.00750391
745,0.747255,0.0130059,0.615265,0.0110689,-0.441028,0.00749409
746.5,0.747119,0.012997,0.614974,0.0110606,-0.441019,0.00748933
748,0.747355,0.0129794,0.61494,0.011045,-0.44126,0.00747957
749.5,0.747573,0.0129705,0.614952,0.0110368,-0.441272,0.00747484
751,0.747602,0.0129531,0.615819,0.0110212,-0.440072,0.0074651
752.5,0.746645,0.0129442,0.614945,0.0110131,-0.439674,0.00746034
754,0.746947,0.0129269,0.613922,0.0109976,-0.438892,0.00745061
755.5,0.746577,0.0129181,0.614118,0.0109895,-0.439729,0.00744588
757,0.745831,0.0129008,0.614595,0.0109741,-0.438481,0.0074362
758.5,0.745722,0.012892,0.614998,0.010966,-0.437818,0.00743142
760,0.744733,0.0128748,0.61558,0.0109508,-0.43987,0.00742184
761.5,0.74457,0.012866,0.615445,0.0109428,-0.439858,0.00741717
763,0.744592,0.0128489,0.615412,0.0109276,-0.43986,0.00740765
764.5,0.74402,0.0128402,0.614301,0.0109197,-0.439623,0.00740299
766,0.744924,0.0128231,0.614188,0.0109046,-0.43952,0.00739351
767.5,0.744564,0.0128145,0.613071,0.0108966,-0.440086,0.0073889
769,0.744424,0.0127975,0.613562,0.0108816,-0.441207,0.00737953
770.5,0.744533,0.012789,0.613317,0.0108737,-0.443329,0.00737506
772,0.744196,0.0127721,0.614487,0.0108588,-0.438133,0.00736563
773.5,0.744645,0.0127636,0.613547,0.0108509,-0.440357,0.00736108
775,0.743898,0.0127468,0.614576,0.0108361,-0.440247,0.00735178
776.5,0.744354,0.0127383,0.613418,0.0108283,-0.441207,0.00734729
778,0.743857,0.0127216,0.614668,0.0108136,-0.436331,0.00733791
779.5,0.744956,0.0127132,0.614332,0.0108059,-0.439509,0.00733338
781,0.744058,0.0126967,0.614228,0.0107913,-0.439632,0.00732417
782.5,0.745124,0.0126883,0.615294,0.0107836,-0.439771,0.00731967
784,0.74605,0.0126719,0.614264,0.0107691,-0.437838,0.00731045
785.5,0.746313,0.0126636,0.614759,0.0107615,-0.437709,0.00730591
787,0.745656,0.0126473,0.615619,0.010747,-0.437731,0.00729673
788.5,0.745884,0.012639,0.615098,0.0107395,-0.438374,0.00729224
790,0.745128,0.0126228,0.614841,0.0107251,-0.438295,0.00728314
791.5,0.744406,0.0126146,0.615212,0.0107176,-0.439846,0.00727872
793,0.745618,0.0125984,0.615666,0.0107034,-0.43772,0.00726965
794.5,0.744538,0.0125902,0.614431,0.0106959,-0.437318,0.00726517
796,0.74429,0.0125741,0.615281,0.0106817,-0.43851,0.00725617
797.5,0.743106,0.012566,0.615618,0.0106743,-0.438841,0.00725177
799,0.742213,0.0125499,0.61684,0.0106603,-0.444535,0.00724302
800.5,0.743351,0.0125418,0.616795,0.0106529,-0.442971,0.00723878
802,0.743291,0.0125258,0.616781,0.010639,-0.44297,0.00723003
803.5,0.742911,0.0125177,0.616244,0.0106317,-0.444616,0.00722586
805,0.743267,0.0125019,0.616643,0.0106178,-0.442975,0.00721716
806.5,0.742994,0.0124939,0.616768,0.0106105,-0.444585,0.00721301
808,0.743349,0.0124781,0.61716,0.0105968,-0.442954,0.00720436
809.5,0.743324,0.0124701,0.617208,0.0105896,-0.442951,0.00720018
811,0.743926,0.0124545,0.616992,0.0105759,-0.445518,0.00719165
812.5,0.742942,0.0124465,0.616559,0.0105687,-0.444596,0.00718755
814,0.743396,0.012431,0.616538,0.010555,-0.443212,0.00717899
815.5,0.743018,0.012423,0.616493,0.0105479,-0.442973,0.00717486
817,0.742663,0.0124075,0.616662,0.0105344,-0.442144,0.00716631
818.5,0.743137,0.0123997,0.616759,0.0105273,-0.442965,0.0071622
820,0.744177,0.0123843,0.617412,0.0105138,-0.442161,0.0071537
821.5,0.743387,0.0123765,0.617318,0.0105068,-0.442949,0.0071496
823,0.743212,0.0123612,0.616948,0.0104934,-0.442959,0.00714117
824.5,0.743417,0.0123534,0.617223,0.0104864,-0.442954,0.0071371
826,0.743077,0.0123382,0.616259,0.0104731,-0.443025,0.00712872
827.5,0.742523,0.0123304,0.616799,0.0104661,-0.440994,0.0071246
829,0.74266,0.0123153,0.6159,0.0104529,-0.438413,0.00711612
830.5,0.743051,0.0123076,0.616522,0.0104459,-0.442973,0.00711209
832,0.742558,0.0122925,0.616546,0.0104328,-0.439372,0.00710368
833.5,0.742992,0.0122849,0.616035,0.0104259,-0.439514,0.00709956
835,0.74223,0.0122698,0.615658,0.0104128,-0.438936,0.00709119
836.5,0.742086,0.0122622,0.615856,0.0104059,-0.432805,0.00708689
838,0.742653,0.0122473,0.615434,0.0103928,-0.437564,0.00707851
839.5,0.743633,0.0122398,0.615977,0.010386,-0.437091,0.00707437
841,0.743028,0.0122249,0.615587,0.010373,-0.43884,0.00706608
842.5,0.743283,0.0122174,0.616342,0.0103663,-0.443223,0.00706214
844,0.742247,0.0122027,0.616976,0.0103534,-0.444532,0.00705406
845.5,0.743315,0.0121952,0.617032,0.0103467,-0.442959,0.00705013
847,0.743397,0.0121805,0.617246,0.0103339,-0.442952,0.00704205
848.5,0.743139,0.0121731,0.617022,0.0103272,-0.442952,0.00703814
850,0.743994,0.0121586,0.617087,0.0103145,-0.442018,0.00703008
851.5,0.742859,0.0121511,0.616444,0.0103079,-0.444601,0.00702624
853,0.74336,0.0121367,0.617387,0.0102952,-0.442945,0.00701824
854.5,0.742586,0.0121293,0.616583,0.0102886,-0.442146,0.00701434
856,0.743514,0.0121149,0.616481,0.010276,-0.443224,0.00700639
857.5,0.743484,0.0121076,0.616414,0.0102694,-0.443228,0.00700255
859,0.742691,0.0120932,0.616669,0.0102569,-0.437587,0.00699447
860.5,0.743833,0.012086,0.617533,0.0102504,-0.439143,0.00699053
862,0.74389,0.0120717,0.617206,0.0102379,-0.441218,0.0069826
863.5,0.74275,0.0120645,0.616108,0.0102314,-0.441929,0.00697876
865,0.743218,0.0120503,0.616561,0.010219,-0.442978,0.00697092
866.5,0.743433,0.0120431,0.616489,0.0102126,-0.443219,0.00696713
868,0.743628,0.012029,0.616047,0.0102002,-0.437392,0.00695917
869.5,0.74477,0.0120219,0.615766,0.0101938,-0.439874,0.00695531
871,0.745589,0.0120079,0.615223,0.0101815,-0.437771,0.0069474
872.5,0.746338,0.0120008,0.614775,0.0101751,-0.437711,0.00694349
874,0.746714,0.011987,0.613864,0.0101628,-0.437469,0.00693561
875.5,0.746491,0.01198,0.614698,0.0101564,-0.441756,0.00693184
877,0.746932,0.0119662,0.614685,0.0101442,-0.44268,0.00692415
878.5,0.746424,0.0119592,0.614769,0.0101379,-0.441751,0.0069204
880,0.745379,0.0119454,0.615716,0.0101258,-0.440204,0.00691268
881.5,0.746377,0.0119385,0.616784,0.0101195,-0.439873,0.00690889
883,0.746445,0.0119248,0.616882,0.0101075,-0.439594,0.00690119
884.5,0.74615,0.011918,0.616815,0.0101013,-0.439559,0.00689741
886,0.74707,0.0119044,0.615856,0.0100893,-0.437988,0.0068897
887.5,0.747125,0.0118975,0.614884,0.010083,-0.441018,0.00688599
889,0.746116,0.011884,0.613869,0.0100711,-0.438654,0.00687834
890.5,0.74587,0.0118772,0.614733,0.0100649,-0.438007,0.00687455
892,0.745094,0.0118637,0.614636,0.010053,-0.438304,0.00686693
893.5,0.745672,0.0118569,0.615127,0.0100468,-0.437795,0.00686316
895,0.746015,0.0118435,0.616126,0.0100351,-0.438102,0.00685557
896.5,0.746622,0.0118367,0.616023,0.010029,-0.437864,0.00685182
898,0.74612,0.0118234,0.61562,0.0100173,-0.437395,0.00684425
899.5,0.745694,0.0118167,0.615782,0.0100112,-0.437716,0.00684051
901,0.746487,0.0118034,0.61526,0.0099995,-0.44218,0.00683311
902.5,0.747034,0.0117967,0.614849,0.00999341,-0.441013,0.00682948
904,0.747814,0.0117836,0.615652,0.00998182,-0.441706,0.0068221
905.5,0.748411,0.011777,0.616756,0.00997581,-0.439554,0.00681845
907,0.749011,0.0117639,0.616108,0.00996429,-0.442083,0.00681111
908.5,0.749866,0.0117574,0.615478,0.00995828,-0.441403,0.00680753
910,0.749903,0.0117444,0.615624,0.00994682,-0.441401,0.00680021
911.5,0.749134,0.0117379,0.61624,0.00994086,-0.442077,0.00679666
913,0.748783,0.011725,0.616043,0.00992946,-0.442822,0.00678942
914.5,0.74984,0.0117185,0.615337,0.00992351,-0.441406,0.00678587
916,0.749828,0.0117057,0.615259,0.00991215,-0.441408,0.00677862
917.5,0.749788,0.0116993,0.615447,0.00990623,-0.441561,0.00677509
919,0.749726,0.0116865,0.615641,0.00989494,-0.440748,0.00676786
920.5,0.749138,0.0116801,0.616418,0.00988908,-0.442056,0.00676436
922,0.749909,0.0116674,0.615391,0.00987784,-0.441412,0.00675718
923.5,0.748963,0.011661,0.616144,0.009872,-0.442074,0.0067537
925,0.748406,0.0116483,0.615451,0.00986082,-0.442546,0.00674659
926.5,0.747662,0.0116419,0.615451,0.009855,-0.441234,0.0067431
928,0.747474,0.0116292,0.615418,0.00984388,-0.441226,0.00673598
929.5,0.748087,0.0116229,0.616347,0.0098381,-0.441658,0.00673252
931,0.74815,0.0116103,0.616304,0.00982706,-0.441666,0.00672545
932.5,0.747773,0.011604,0.615736,0.0098213,-0.441695,0.00672201
934,0.748169,0.0115915,0.61646,0.00981031,-0.441653,0.00671497
935.5,0.74809,0.0115852,0.616212,0.00980459,-0.441671,0.00671154
937,0.747985,0.0115727,0.616199,0.00979365,-0.441665,0.00670453
938.5,0.748228,0.0115665,0.616141,0.00978796,-0.43958,0.00670107
940,0.747587,0.0115541,0.615328,0.00977706,-0.44124,0.00669408
941.5,0.746598,0.0115478,0.614651,0.00977137,-0.439691,0.00669064
943,0.747269,0.0115355,0.614631,0.0097605,-0.437654,0.00668359
944.5,0.746822,0.0115293,0.613955,0.00975482,-0.43747,0.0066801
946,0.746285,0.0115169,0.614797,0.00974402,-0.43771,0.0066731
947.5,0.747262,0.0115108,0.614544,0.00973838,-0.437664,0.00666963
949,0.747377,0.0114985,0.614588,0.00972762,-0.437667,0.00666266
950.5,0.748407,0.0114924,0.613928,0.009722,-0.439295,0.00665925
952,0.748092,0.0114802,0.614423,0.00971129,-0.438504,0.00665232
953.5,0.747671,0.0114741,0.613969,0.0097057,-0.437843,0.00664889
955,0.748631,0.011462,0.614433,0.00969504,-0.439251,0.00664202
956.5,0.748281,0.011456,0.61371,0.00968947,-0.43943,0.00663865
958,0.748154,0.0114439,0.613642,0.00967885,-0.439428,0.00663181
959.5,0.747952,0.0114379,0.612927,0.00967329,-0.439741,0.00662846
961,0.7475,0.0114259,0.613111,0.00966271,-0.439638,0.00662166
962.5,0.746967,0.0114198,0.613785,0.0096572,-0.438902,0.0066183
964,0.746577,0.0114079,0.614821,0.00964671,-0.439677,0.00661154
965.5,0.746445,0.0114018,0.614499,0.00964124,-0.441759,0.00660826
967,0.746461,0.0113899,0.615317,0.00963081,-0.442173,0.00660159
968.5,0.747285,0.0113839,0.615113,0.00962538,-0.44124,0.00659832
970,0.747354,0.0113721,0.61473,0.00961499,-0.441278,0.00659165
971.5,0.747696,0.0113662,0.615134,0.00960959,-0.441263,0.0065884
973,0.747611,0.0113544,0.615623,0.00959927,-0.441217,0.00658176
974.5,0.747044,0.0113485,0.614684,0.00959388,-0.441013,0.00657851
976,0.746671,0.0113367,0.614607,0.00958359,-0.439701,0.00657187
977.5,0.747504,0.0113308,0.615107,0.00957824,-0.441254,0.00656864
979,0.747196,0.0113192,0.614816,0.009568,-0.441261,0.00656207
980.5,0.747992,0.0113133,0.615778,0.00956269,-0.441706,0.00655887
982,0.747633,0.0113017,0.615569,0.00955252,-0.441222,0.00655232
983.5,0.746661,0.0112958,0.614685,0.00954721,-0.439694,0.00654908
985,0.746741,0.0112843,0.614782,0.00953707,-0.439694,0.00654253
986.5,0.746643,0.0112784,0.615363,0.0095318,-0.439554,0.0065393
988,0.74725,0.0112669,0.615038,0.00952172,-0.441245,0.00653281
989.5,0.747598,0.0112611,0.615485,0.00951648,-0.441227,0.00652964
991,0.748164,0.0112497,0.6147,0.00950643,-0.439245,0.00652313
992.5,0.748417,0.011244,0.614729,0.0095012,-0.439927,0.00651995
994,0.747614,0.0112326,0.615039,0.00949121,-0.441266,0.00651352
995.5,0.746878,0.0112268,0.614418,0.009486,-0.439733,0.00651034
997,0.747711,0.0112155,0.614337,0.00947604,-0.439221,0.00650389
998.5,0.747556,0.0112098,0.614859,0.00947086,-0.436251,0.00650064
1000,0.746913,0.0111985,0.6147,0.00946096,-0.442678,0.0064943
1001.5,0.747354,0.0111928,0.615026,0.00945581,-0.441252,0.00649119
1003,0.747527,0.0111815,0.615046,0.00944596,-0.441261,0.00648484
1004.5,0.74765,0.0111759,0.615476,0.00944084,-0.441231,0.00648174
1006,0.747823,0.0111647,0.615799,0.00943105,-0.441692,0.00647543
1007.5,0.747784,0.0111591,0.615584,0.00942597,-0.441711,0.00647235
1009,0.747499,0.0111479,0.615846,0.00941622,-0.440061,0.00646603
1010.5,0.747429,0.0111423,0.615731,0.00941116,-0.440066,0.00646293
1012,0.748368,0.0111313,0.615434,0.00940146,-0.442545,0.0064567
1013.5,0.747557,0.0111257,0.614876,0.0093964,-0.441277,0.00645364
1015,0.746837,0.0111146,0.614528,0.00938672,-0.439721,0.00644737
1016.5,0.74673,0.0111091,0.614368,0.00938168,-0.439723,0.00644428
1018,0.747241,0.011098,0.615246,0.00937206,-0.441027,0.00643807
1019.5,0.747629,0.0110925,0.615141,0.00936706,-0.441258,0.00643503
1021,0.747864,0.0110816,0.615199,0.00935748,-0.441268,0.00642885
1022.5,0.747596,0.0110761,0.615288,0.00935251,-0.441244,0.00642583
1024,0.747025,0.0110652,0.614673,0.00934297,-0.441012,0.00641966
1025.5,0.746471,0.0110597,0.614933,0.00933801,-0.44175,0.00641666
1027,0.747261,0.0110488,0.61526,0.00932852,-0.441028,0.00641053
1028.5,0.747112,0.0110434,0.615011,0.00932359,-0.441018,0.00640753
1030,0.746482,0.0110325,0.614696,0.00931413,-0.441756,0.00640144
1031.5,0.746396,0.0110271,0.615241,0.00930922,-0.442176,0.00639847
1033,0.746461,0.0110163,0.615226,0.00929982,-0.442181,0.00639241
1034.5,0.746928,0.0110109,0.615782,0.00929495,-0.439545,0.0063894
1036,0.747644,0.0110002,0.615267,0.00928559,-0.441248,0.00638335
1037.5,0.748473,0.0109948,0.614596,0.00928071,-0.439935,0.00638036
1039,0.74889,0.0109842,0.614707,0.00927139,-0.437429,0.00637425
1040.5,0.747933,0.0109788,0.615637,0.00926656,-0.437565,0.00637122
1042,0.747208,0.0109682,0.616215,0.0092573,-0.437975,0.00636515
1043.5,0.747908,0.0109629,0.615925,0.0092525,-0.441686,0.00636223
1045,0.748189,0.0109523,0.616352,0.00924328,-0.441664,0.00635626
1046.5,0.749139,0.0109471,0.616279,0.00923851,-0.442073,0.00635336
1048,0.749796,0.0109366,0.615474,0.00922932,-0.441561,0.00634741
1049.5,0.749727,0.0109313,0.615049,0.00922455,-0.438731,0.00634445
1051,0.749568,0.0109209,0.615912,0.00921541,-0.438233,0.00633846
1052.5,0.749761,0.0109157,0.615542,0.00921066,-0.440753,0.00633555
1054,0.749713,0.0109053,0.6153,0.00920155,-0.441559,0.00632966
1055.5,0.749684,0.0109001,0.615665,0.00919683,-0.440743,0.00632676
1057,0.749781,0.0108898,0.615405,0.00918776,-0.441396,0.00632089
1058.5,0.749712,0.0108846,0.615263,0.00918306,-0.441561,0.00631802
1060,0.749681,0.0108743,0.615687,0.00917403,-0.440742,0.00631216
1061.5,0.749872,0.0108691,0.615624,0.00916936,-0.441397,0.0063093
1063,0.749087,0.0108589,0.616159,0.00916038,-0.442083,0.00630349
1064.5,0.748502,0.0108537,0.615469,0.00915572,-0.440799,0.00630063
1066,0.749073,0.0108435,0.615951,0.00914678,-0.441135,0.00629482
1067.5,0.748245,0.0108383,0.616437,0.00914216,-0.439562,0.00629194
1069,0.747451,0.0108281,0.616346,0.00913327,-0.437987,0.0062861
1070.5,0.748006,0.010823,0.615929,0.00912866,-0.441692,0.00628328
1072,0.747492,0.0108128,0.615083,0.00911978,-0.441255,0.00627752
1073.5,0.747456,0.0108077,0.614976,0.00911518,-0.441262,0.00627471
