sum,mean,err
375.008,375.008,1.35766e-05
375.008,375.008,1.30562e-05
375.008,375.008,1.26321e-05
375.008,375.008,1.22229e-05
375.008,375.008,1.18273e-05
375.008,375.008,1.14838e-05
375.008,375.008,1.11514e-05
375.008,375.008,1.08292e-05
375.008,375.008,1.04768e-05
375.008,375.008,1.01725e-05
375.008,375.008,9.91583e-06
375.008,375.008,9.62667e-06
375.008,375.008,9.42359e-06
375.008,375.008,9.14732e-06
375.008,375.008,8.91645e-06
375.008,375.008,8.73065e-06
375.008,375.008,8.51006e-06
375.008,375.008,8.29403e-06
375.008,375.008,8.04209e-06
375.008,375.008,7.83397e-06
375.008,375.008,7.66987e-06
375.008,375.008,7.42806e-06
375.008,375.008,7.22967e-06
375.008,375.008,7.07521e-06
375.008,375.008,6.88223e-06
375.008,375.008,6.73311e-06
375.008,375.008,6.54462e-06
375.008,375.008,6.44204e-06
375.008,375.008,6.25763e-06
375.008,375.008,6.0745e-06
375.008,375.008,5.8924e-06
375.008,375.008,5.79827e-06
375.008,375.008,5.66247e-06
375.008,375.008,5.48397e-06
375.008,375.008,5.3948e-06
375.008,375.008,5.30707e-06
375.008,375.008,5.13148e-06
375.008,375.008,5.00111e-06
375.008,375.008,4.91717e-06
375.008,375.008,4.78856e-06
375.008,375.008,4.75269e-06
375.008,375.008,4.57951e-06
375.008,375.008,4.45245e-06
375.008,375.008,4.37326e-06
375.008,375.008,4.29489e-06
375.008,375.008,4.16911e-06
375.008,375.008,4.14045e-06
375.008,375.008,4.06428e-06
375.008,375.008,3.9398e-06
375.008,375.008,3.8147e-06
375.008,375.008,3.73965e-06
375.008,375.008,3.7156e-06
375.008,375.008,3.59084e-06
375.008,375.008,3.56832e-06
375.008,375.008,3.44342e-06
375.008,375.008,3.3701e-06
375.008,375.008,3.34974e-06
375.008,375.008,3.22401e-06
375.008,375.008,3.20499e-06
375.008,375.008,3.02279e-06
375.008,375.008,3.00537e-06
375.008,375.008,2.98824e-06
375.008,375.008,2.85924e-06
375.008,375.008,2.84331e-06
375.008,375.008,2.77051e-06
375.008,375.008,2.6974e-06
375.008,375.008,2.68286e-06
375.008,375.008,2.60989e-06
375.008,375.008,2.53643e-06
375.008,375.008,2.46238e-06
375.008,375.008,2.38762e-06
375.008,375.008,2.37541e-06
375.008,375.008,2.30035e-06
sum,mean,err
5.46211,5.46211,0
5.52336,5.49274,0.0306263
5.59967,5.52838,0.039788
5.51614,5.52532,0.0283004
5.56791,5.53384,0.0235184
5.49723,5.52774,0.0201489
5.47314,5.51994,0.0187304
5.48758,5.51589,0.0167178
5.5935,5.52451,0.0170803
5.58466,5.53053,0.0164183
5.49388,5.5272,0.0152201
5.58044,5.53163,0.0145853
5.65325,5.54099,0.016356
5.64029,5.54808,0.0167214
5.51596,5.54594,0.0157134
5.65093,5.5525,0.0160968
5.61702,5.5563,0.0155893
5.46437,5.55119,0.0155598
5.55419,5.55135,0.0147189
5.43715,5.54564,0.015086
5.66319,5.55124,0.0154028
5.49067,5.54848,0.0149418
5.61647,5.55144,0.0145802
5.67318,5.55651,0.0148525
5.57038,5.55707,0.0142568
5.41854,5.55174,0.0146972
5.45055,5.54799,0.0146306
5.64983,5.55163,0.01456
5.52483,5.5507,0.0140793
5.47619,5.54822,0.0138268
5.45584,5.54524,0.0137013
5.57715,5.54624,0.0133037
5.50848,5.54509,0.0129449
5.51778,5.54429,0.0125841
5.5674,5.54495,0.012237
5.53597,5.5447,0.0118949
5.57278,5.54546,0.0115938
5.7765,5.55154,0.0128183
5.51129,5.55051,0.0125279
5.49275,5.54906,0.0122957
5.49825,5.54782,0.012056
5.49965,5.54668,0.0118212
5.58174,5.54749,0.0115718
5.56149,5.54781,0.0113102
5.66532,5.55042,0.0113602
5.45251,5.54829,0.0113126
5.43034,5.54578,0.0113502
5.61253,5.54717,0.0111979
5.52396,5.5467,0.0109773
5.51892,5.54614,0.0107698
5.72069,5.54957,0.0110974
5.4551,5.54775,0.0110325
5.60206,5.54878,0.0108708
5.5756,5.54927,0.0106791
5.44699,5.54741,0.0106468
5.64937,5.54923,0.0106123
5.46742,5.5478,0.0105228
5.50519,5.54706,0.0103659
5.62839,5.54844,0.0102815
5.71376,5.5512,0.0104775
5.56622,5.55144,0.0103072
5.42856,5.54946,0.0103315
5.35004,5.5463,0.0106476
5.57662,5.54677,0.0104906
5.55425,5.54688,0.0103286
5.64083,5.54831,0.01027
5.63499,5.5496,0.010198
5.60396,5.5504,0.0100786
5.46459,5.54916,0.0100091
5.62897,5.5503,0.00993072
5.4576,5.54899,0.00987653
5.40063,5.54693,0.00995399
5.51461,5.54649,0.00982667
5.57372,5.54686,0.00969995
5.46855,5.54581,0.00962653
5.64822,5.54716,0.00959412
