sum,mean,err
0.390512,1.67778,0.0581508
0.931844,1.6755,0.0580179
0.931844,1.67324,0.0578854
0.244237,1.66891,0.057872
0.244237,1.66461,0.0578572
0.244237,1.66033,0.0578411
0.791635,1.65772,0.0577261
0.791635,1.65513,0.0576114
1.14532,1.65361,0.0574593
1.14532,1.65209,0.057308
1.14532,1.65059,0.0571575
2.56102,1.65328,0.0570518
3.01536,1.6573,0.0570249
3.01536,1.6613,0.0569971
3.01536,1.66527,0.0569683
2.29558,1.66711,0.0568313
1.89299,1.66777,0.0566692
1.43811,1.6671,0.0565082
1.43811,1.66644,0.0563481
0.883488,1.66417,0.0562305
1.292,1.6631,0.0560785
1.292,1.66203,0.0559273
0.637496,1.6591,0.055844
0.637496,1.65618,0.0557607
0.602351,1.65318,0.0556826
0.656842,1.65035,0.0555963
0.656842,1.64753,0.05551
0.656842,1.64473,0.0554236
0.656842,1.64195,0.0553373
1.48326,1.64151,0.0551835
1.48326,1.64106,0.0550304
1.62008,1.641,0.0548765
1.62008,1.64095,0.0547235
1.37531,1.64021,0.0545763
1.19243,1.63897,0.054439
1.19243,1.63773,0.0543024
0.463045,1.6345,0.0542492
0.396707,1.6311,0.0542068
0.396707,1.62772,0.0541637
1.8186,1.62824,0.0540181
2.60575,1.6309,0.0539365
2.60575,1.63355,0.0538549
2.00984,1.63457,0.0537184
2.00984,1.63558,0.0535827
1.85878,1.63618,0.0534414
2.44803,1.63837,0.0533422
2.42373,1.64047,0.0532407
2.42373,1.64257,0.0531394
1.3136,1.64169,0.0530048
1.3136,1.64082,0.0528708
0.994809,1.6391,0.0527582
0.800641,1.63689,0.0526652
0.989225,1.63518,0.0525539
0.989225,1.63348,0.0524429
0.989225,1.63179,0.0523324
0.989225,1.6301,0.0522223
0.8538,1.62808,0.0521252
0.8538,1.62606,0.0520284
0.900701,1.62418,0.0519273
1.22883,1.62315,0.0518027
1.22883,1.62213,0.0516787
1.22883,1.62112,0.0515553
1.34324,1.62041,0.0514276
1.36708,1.61976,0.0512997
1.36708,1.61911,0.0511724
1.41037,1.61858,0.0510444
0.908085,1.61677,0.0509465
0.805674,1.61471,0.0508587
0.805674,1.61266,0.0507711
0.805674,1.61062,0.0506837
0.805674,1.6086,0.0505965
0.805674,1.60658,0.0505095
1.13515,1.6054,0.0503966
1.59588,1.60537,0.0502705
2.93755,1.6087,0.0502549
2.65001,1.61129,0.0501966
2.59158,1.61372,0.050131
2.44113,1.61577,0.0500486
2.44113,1.61781,0.0499665
1.43459,1.61735,0.0498453
1.43459,1.6169,0.0497247
1.44223,1.61648,0.0496045
0.512988,1.61378,0.0495566
0.744063,1.61166,0.0494811
0.744063,1.60955,0.0494057
0.744063,1.60745,0.0493303
0.868048,1.60566,0.0492433
1.23807,1.60477,0.0491322
0.966884,1.60323,0.0490378
0.966884,1.6017,0.0489437
0.841099,1.59988,0.0488602
0.841099,1.59806,0.048777
0.841099,1.59625,0.048694
0.475359,1.59359,0.0486511
0.475359,1.59093,0.0486081
0.717906,1.58886,0.0485369
0.717906,1.5868,0.0484657
0.717906,1.58475,0.0483947
1.17981,1.5838,0.0482901
1.17981,1.58285,0.0481859
1.17981,1.58191,0.0480822
1.00045,1.58055,0.047989
1.00045,1.5792,0.0478961
1.00045,1.57785,0.0478035
0.722753,1.57587,0.0477337
0.722753,1.57389,0.047664
0.722753,1.57193,0.0475944
0.847362,1.57026,0.047514
0.847362,1.5686,0.0474338
0.847362,1.56694,0.0473537
0.772687,1.56512,0.0472802
0.772687,1.56331,0.0472068
0.772687,1.56151,0.0471336
0.772687,1.55972,0.0470605
0.772687,1.55794,0.0469876
1.10839,1.55692,0.0468922
1.10839,1.55591,0.0467971
1.10839,1.5549,0.0467025
0.415049,1.55234,0.0466678
0.855602,1.55077,0.0465892
0.855602,1.54922,0.0465109
0.855602,1.54767,0.0464328
0.855602,1.54613,0.0463549
1.71766,1.54651,0.0462533
1.71766,1.54689,0.0461522
1.65022,1.54712,0.0460506
2.35838,1.54891,0.0459837
1.48337,1.54877,0.0458825
1.48337,1.54862,0.0457818
2.84699,1.55147,0.0457699
2.82932,1.55427,0.0457552
2.82932,1.55705,0.04574
3.19598,1.56062,0.0457797
3.08242,1.56393,0.0457997
3.08242,1.56722,0.0458188
1.98186,1.56812,0.0457283
1.95764,1.56896,0.0456372
1.95764,1.5698,0.0455464
1.84822,1.5704,0.0454523
1.84822,1.57099,0.0453586
1.84822,1.57159,0.0452653
2.63699,1.57386,0.0452258
2.86217,1.57661,0.0452128
2.86217,1.57935,0.0451993
2.86217,1.58207,0.0451854
2.86217,1.58478,0.045171
2.80829,1.58737,0.0451496
2.68169,1.58968,0.0451134
3.00872,1.59266,0.0451173
3.00872,1.59564,0.0451206
3.47857,1.59959,0.0451986
3.01546,1.60255,0.0452011
3.01546,1.6055,0.045203
3.15983,1.60874,0.0452248
3.15983,1.61196,0.0452457
3.15983,1.61517,0.0452658
3.36061,1.61879,0.0453163
3.25621,1.62217,0.045349
3.25621,1.62554,0.0453806
3.03513,1.62844,0.0453799
3.03513,1.63133,0.0453787
3.03513,1.6342,0.0453769
3.01164,1.63702,0.0453715
2.97236,1.63975,0.0453607
2.39061,1.64128,0.0452941
2.24189,1.6425,0.0452184
2.40399,1.64404,0.045153
1.7649,1.64429,0.0450622
1.7649,1.64453,0.0449717
1.7649,1.64477,0.0448816
1.7649,1.64501,0.0447919
1.06748,1.64385,0.0447169
0.573588,1.64171,0.0446787
0.788536,1.64,0.0446219
0.788536,1.6383,0.0445652
0.767186,1.63657,0.0445101
0.767186,1.63484,0.0444552
0.831479,1.63325,0.0443955
1.42398,1.63283,0.0443094
0.305995,1.63021,0.0442995
0.579357,1.62814,0.0442605
0.161628,1.62525,0.0442676
0.161628,1.62237,0.044274
1.76743,1.62266,0.044188
1.73972,1.62289,0.044102
1.73972,1.62312,0.0440164
1.34328,1.62257,0.0439339
0.62157,1.62062,0.0438916
0.967396,1.61935,0.0438246
0.967396,1.61809,0.0437579
0.607257,1.61614,0.0437169
0.570232,1.61412,0.0436791
0.570232,1.61211,0.0436412
0.570232,1.6101,0.0436033
0.570232,1.60811,0.0435653
0.488009,1.60596,0.0435346
0.704705,1.60424,0.0434855
0.704705,1.60252,0.0434363
0.975764,1.60133,0.04337
0.774903,1.59976,0.0433159
0.774903,1.59819,0.043262
0.995244,1.59705,0.0431951
1.26478,1.59642,0.0431179
1.85845,1.59691,0.0430393
2.58031,1.59877,0.0429981
1.69985,1.59896,0.0429176
1.04478,1.59792,0.0428496
0.547613,1.59595,0.0428145
0.547613,1.59399,0.0427793
0.547613,1.59204,0.042744
1.39969,1.59168,0.0426659
1.53352,1.59157,0.0425866
1.58921,1.59157,0.0425075
1.9708,1.59227,0.0424346
1.02901,1.59123,0.0423688
1.02901,1.59019,0.0423033
0.567985,1.58831,0.0422673
0.567985,1.58643,0.0422312
0.567985,1.58456,0.042195
2.63117,1.58648,0.0421613
2.63117,1.58839,0.0421274
1.65973,1.58852,0.0420507
1.65973,1.58865,0.0419742
1.65973,1.58878,0.041898
1.65973,1.58891,0.0418221
1.65973,1.58904,0.0417465
1.65973,1.58917,0.0416711
1.69776,1.58936,0.0415963
1.52346,1.58924,0.0415215
2.78698,1.5914,0.0415027
2.75585,1.59349,0.0414808
2.9231,1.59587,0.0414749
2.78491,1.598,0.0414552
1.89312,1.59852,0.0413845
1.54023,1.59842,0.0413108
1.54023,1.59832,0.0412374
1.72201,1.59854,0.0411646
1.66449,1.59865,0.0410917
1.75945,1.59894,0.0410199
1.75945,1.59922,0.0409484
1.7693,1.59952,0.0408772
1.7693,1.59982,0.0408063
1.81777,1.6002,0.0407363
1.81777,1.60059,0.0406666
1.7852,1.60091,0.0405966
1.4849,1.60071,0.040526
1.4849,1.6005,0.0404557
0.364862,1.59835,0.0404425
0.437288,1.59633,0.0404226
0.437288,1.59432,0.0404025
0.482768,1.59239,0.0403784
0.482768,1.59047,0.0403542
0.482768,1.58856,0.0403298
0.42292,1.58655,0.0403104
0.42292,1.58455,0.0402907
0.417248,1.58254,0.0402714
0.417248,1.58054,0.0402519
1.18872,1.57987,0.0401886
0.991254,1.57887,0.0401324
1.01251,1.5779,0.0400755
1.01251,1.57694,0.0400188
1.3867,1.57661,0.039952
1.25277,1.57606,0.0398879
1.25277,1.57552,0.039824
1.25277,1.57497,0.0397603
1.35046,1.57459,0.0396949
1.65018,1.57472,0.0396281
2.59831,1.57644,0.0395988
2.51856,1.57802,0.0395639
2.51856,1.5796,0.039529
2.34745,1.58089,0.0394837
2.61951,1.58262,0.0394559
2.61951,1.58436,0.0394279
0.910552,1.58323,0.0393782
0.910552,1.58211,0.0393285
0.910552,1.581,0.039279
1.28699,1.58051,0.0392168
1.21696,1.57991,0.0391565
0.959411,1.57888,0.0391052
0.959411,1.57786,0.039054
0.959411,1.57684,0.0390029
0.959411,1.57583,0.0389519
0.959411,1.57481,0.0389011
0.95444,1.5738,0.0388506
0.950378,1.57278,0.0388003
0.892964,1.57167,0.0387528
0.892964,1.57056,0.0387054
0.892964,1.56946,0.0386581
0.892964,1.56836,0.0386108
1.2053,1.56777,0.0385526
0.686871,1.56634,0.0385165
0.902353,1.56526,0.0384692
0.761069,1.56396,0.0384289
0.761069,1.56267,0.0383887
1.72678,1.56293,0.0383278
1.70678,1.56317,0.0382668
1.35663,1.56283,0.0382068
1.65008,1.56297,0.0381458
2.00731,1.56368,0.0380913
2.00731,1.56439,0.038037
2.35087,1.56565,0.037997
2.41246,1.567,0.0379604
2.24979,1.56808,0.0379156
2.39536,1.56939,0.0378781
2.60158,1.57103,0.0378534
2.60158,1.57266,0.0378286
1.9194,1.57321,0.0377728
1.9194,1.57375,0.0377171
2.56054,1.57531,0.0376897
2.05029,1.57606,0.0376378
2.07118,1.57683,0.0375867
2.07118,1.57761,0.0375357
1.59153,1.57763,0.037477
1.59153,1.57765,0.0374184
1.1946,1.57705,0.0373647
1.1946,1.57646,0.0373112
1.1946,1.57586,0.0372579
1.1946,1.57527,0.0372047
1.62986,1.57536,0.0371471
2.63969,1.577,0.0371261
2.46793,1.57838,0.0370942
2.18279,1.57931,0.0370487
2.18279,1.58024,0.0370033
2.18279,1.58117,0.0369579
2.18279,1.58209,0.0369127
2.37524,1.58331,0.0368761
2.37524,1.58452,0.0368395
2.37524,1.58573,0.036803
3.38728,1.58848,0.0368496
2.97839,1.5906,0.0368543
2.50982,1.592,0.0368248
3.2798,1.59457,0.0368581
3.05038,1.59678,0.0368684
3.05038,1.59898,0.0368783
3.05038,1.60117,0.0368879
3.11402,1.60346,0.036903
3.20551,1.60588,0.0369264
3.43338,1.60863,0.0369733
3.43338,1.61137,0.0370195
2.7252,1.61304,0.0370017
2.7252,1.61471,0.0369838
3.11201,1.61695,0.0369964
3.11201,1.61919,0.0370086
2.21708,1.62008,0.036964
2.08356,1.62077,0.0369154
2.50565,1.62209,0.0368839
2.50565,1.6234,0.0368525
2.42597,1.62459,0.036817
2.32511,1.62563,0.0367771
1.53014,1.62549,0.0367229
2.31263,1.6265,0.0366827
1.99855,1.62705,0.0366326
2.7314,1.62868,0.0366148
2.7314,1.6303,0.0365968
2.7314,1.63192,0.0365788
3.43636,1.63456,0.0366208
3.43636,1.6372,0.0366622
3.43636,1.63983,0.036703
3.45313,1.64248,0.0367448
4.80068,1.64708,0.0369789
4.83184,1.65172,0.0372149
4.98135,1.65656,0.0374746
4.98135,1.66138,0.03773
4.85378,1.66601,0.0379583
4.85378,1.67062,0.0381831
4.79002,1.67513,0.0383934
4.03925,1.67854,0.0384894
3.63881,1.68137,0.0385376
3.78127,1.68439,0.0386005
3.78127,1.6874,0.0386626
4.11289,1.69088,0.0387636
4.11289,1.69435,0.0388632
4.11289,1.69781,0.0389615
4.11289,1.70126,0.0390585
4.11289,1.7047,0.0391542
3.16759,1.70678,0.0391539
3.16759,1.70886,0.0391533
2.81429,1.71043,0.0391292
2.81429,1.712,0.039105
2.68305,1.71337,0.0390738
2.68305,1.71475,0.0390426
2.68305,1.71611,0.0390114
3.5411,1.71869,0.0390412
3.06935,1.72059,0.0390326
2.94108,1.72231,0.0390154
2.94108,1.72402,0.0389982
1.74305,1.72404,0.0389435
1.74305,1.72407,0.0388889
1.2086,1.72335,0.0388412
1.2086,1.72263,0.0387935
1.2086,1.72191,0.038746
1.2086,1.7212,0.0386986
1.39253,1.72074,0.0386475
1.39253,1.72029,0.0385965
1.39253,1.71983,0.0385456
1.7574,1.71988,0.0384922
2.63831,1.72115,0.0384599
2.52586,1.72227,0.0384228
1.50633,1.72197,0.0383709
1.50633,1.72167,0.0383192
1.53978,1.72142,0.0382673
1.47662,1.72108,0.0382161
1.47662,1.72075,0.0381652
1.34503,1.72023,0.0381163
1.21852,1.71955,0.0380703
1.02181,1.71859,0.0380302
0.731178,1.71725,0.0380022
0.731178,1.7159,0.0379742
0.731178,1.71456,0.0379461
1.04196,1.71365,0.0379055
1.10441,1.71282,0.0378631
1.10441,1.712,0.0378207
1.68237,1.71196,0.0377695
1.28647,1.71138,0.0377229
1.20542,1.7107,0.0376781
1.17971,1.70999,0.0376341
1.17971,1.70927,0.0375902
1.17971,1.70856,0.0375464
0.742387,1.70726,0.0375184
0.974175,1.70628,0.0374809
0.647831,1.70486,0.0374575
0.647831,1.70345,0.0374341
0.647831,1.70204,0.0374106
0.647831,1.70064,0.0373872
0.647831,1.69923,0.0373636
0.561948,1.69772,0.0373446
0.561948,1.69621,0.0373254
0.561948,1.69471,0.0373062
0.561948,1.69321,0.037287
0.561948,1.69171,0.0372677
0.561948,1.69022,0.0372483
0.761743,1.689,0.0372193
0.761743,1.68777,0.0371903
0.761743,1.68655,0.0371613
1.07665,1.68575,0.0371211
1.04559,1.68491,0.0370819
1.04559,1.68408,0.0370427
1.98236,1.68447,0.0369963
2.95864,1.68613,0.0369854
3.3473,1.6883,0.0370007
3.03961,1.69006,0.0369944
2.65883,1.69132,0.0369677
2.65883,1.69258,0.0369411
2.88935,1.69414,0.0369258
2.88935,1.69569,0.0369104
3.13681,1.69755,0.0369098
3.1519,1.69943,0.03691
2.98663,1.7011,0.0368998
2.70049,1.70239,0.0368747
2.70049,1.70367,0.0368496
2.70049,1.70496,0.0368245
2.70049,1.70624,0.0367994
2.70049,1.70751,0.0367743
2.14507,1.70807,0.0367314
1.96843,1.70841,0.0366858
2.17931,1.70901,0.0366439
1.67921,1.70897,0.036597
1.41748,1.7086,0.0365522
1.9462,1.7089,0.0365069
1.49571,1.70863,0.0364614
2.2309,1.70929,0.0364211
2.00617,1.70967,0.0363768
1.74912,1.70972,0.0363307
1.74912,1.70977,0.0362847
1.74912,1.70982,0.0362389
1.74912,1.70987,0.0361931
1.27081,1.70932,0.0361517
1.27081,1.70876,0.0361103
1.50795,1.70851,0.0360658
1.99547,1.70887,0.0360222
2.27345,1.70958,0.035984
2.27345,1.71029,0.0359458
2.92273,1.7118,0.0359329
1.91122,1.71205,0.0358888
1.91122,1.7123,0.0358448
2.49717,1.71328,0.0358135
1.92126,1.71354,0.0357698
1.92126,1.7138,0.0357262
0.967752,1.71287,0.0356938
0.967752,1.71195,0.0356615
1.44508,1.71162,0.0356188
0.821334,1.71051,0.0355917
0.821334,1.70941,0.0355647
0.630182,1.70808,0.0355458
1.4064,1.70771,0.0355039
1.4064,1.70734,0.035462
1.4064,1.70697,0.0354203
1.4064,1.7066,0.0353787
1.4064,1.70623,0.0353372
2.36328,1.70704,0.0353031
2.67093,1.70822,0.0352795
2.31315,1.70896,0.0352442
1.47366,1.70867,0.0352023
1.73672,1.7087,0.0351593
1.73672,1.70874,0.0351165
1.71465,1.70874,0.0350737
2.33418,1.7095,0.0350393
1.88788,1.70972,0.0349975
1.94239,1.71,0.0349562
2.34026,1.71077,0.0349221
2.34026,1.71153,0.0348882
2.34026,1.71229,0.0348543
2.34026,1.71304,0.0348205
2.5573,1.71406,0.0347934
2.15374,1.71459,0.0347555
2.15374,1.71512,0.0347177
2.18445,1.71568,0.0346806
2.18858,1.71625,0.0346436
2.18858,1.71681,0.0346067
2.47374,1.71772,0.0345772
1.67187,1.71766,0.0345359
1.89702,1.71788,0.0344953
1.5515,1.71768,0.0344547
1.5515,1.71748,0.0344143
1.43274,1.71714,0.034375
